entry,at,order
"The player ""Solenya @ Cm7T72VOne"" quits the game with a stack of 0.",2020-12-17T21:37:40.363Z,160824106037200
"-- ending hand #86 --",2020-12-17T21:37:34.340Z,160824105434201
"""Leon @ FBmvb3C6ih"" collected 46474 from pot with Two Pair, Q's & 8's (combination: Q♠, Q♣, 8♥, 8♣, 6♥)",2020-12-17T21:37:34.340Z,160824105434200
"river: 8♥, Q♣, 8♣, 6♥ [3♥]",2020-12-17T21:37:31.314Z,160824105132100
"turn: 8♥, Q♣, 8♣ [6♥]",2020-12-17T21:37:28.304Z,160824104830600
"""Leon @ FBmvb3C6ih"" shows a Q♠, 3♣.",2020-12-17T21:37:25.273Z,160824104527601
"""Solenya @ Cm7T72VOne"" shows a J♦, J♠.",2020-12-17T21:37:25.273Z,160824104527600
"""Leon @ FBmvb3C6ih"" calls 20237",2020-12-17T21:37:24.461Z,160824104446100
"""Solenya @ Cm7T72VOne"" bets 20237 and go all in",2020-12-17T21:37:11.059Z,160824103106100
"flop:  [8♥, Q♣, 8♣]",2020-12-17T21:37:06.257Z,160824102625800
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:37:05.449Z,160824102545000
"""Solenya @ Cm7T72VOne"" calls 3000",2020-12-17T21:36:54.333Z,160824101433400
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:36:48.845Z,160824100884500
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:36:47.903Z,160824100791000
"""Leon @ FBmvb3C6ih"" posts a big blind of 3000",2020-12-17T21:36:41.300Z,160824100130610
"""Solenya @ Cm7T72VOne"" posts a small blind of 1500",2020-12-17T21:36:41.300Z,160824100130609
"Your hand is J♦, J♠",2020-12-17T21:36:41.300Z,160824100130606
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (67062) | #2 ""Solenya @ Cm7T72VOne"" (23237) | #6 ""Leon @ FBmvb3C6ih"" (85831) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (42030)",2020-12-17T21:36:41.300Z,160824100130604
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""Wilson @ juRPq4TIwB"") --",2020-12-17T21:36:41.300Z,160824100130603
"The game's big blind was changed from 2000 to 3000.",2020-12-17T21:36:41.300Z,160824100130602
"The game's small blind was changed from 1000 to 1500.",2020-12-17T21:36:41.300Z,160824100130601
"The player ""Vaibhav @ d9aWWonCb9"" stand up with the stack of 26840.",2020-12-17T21:36:41.300Z,160824100130600
"-- ending hand #85 --",2020-12-17T21:36:38.389Z,160824099839102
"""Solenya @ Cm7T72VOne"" collected 4000 from pot",2020-12-17T21:36:38.389Z,160824099839101
"Uncalled bet of 4000 returned to ""Solenya @ Cm7T72VOne""",2020-12-17T21:36:38.389Z,160824099839100
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:36:37.576Z,160824099757700
"""Solenya @ Cm7T72VOne"" bets 4000",2020-12-17T21:36:34.614Z,160824099461500
"""Wilson @ juRPq4TIwB"" checks",2020-12-17T21:36:31.178Z,160824099117900
"turn: Q♥, 6♦, 2♥ [3♦]",2020-12-17T21:36:27.291Z,160824098729200
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:36:26.481Z,160824098648200
"""Wilson @ juRPq4TIwB"" checks",2020-12-17T21:36:18.824Z,160824097882600
"flop:  [Q♥, 6♦, 2♥]",2020-12-17T21:36:16.626Z,160824097662700
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:36:15.804Z,160824097580500
"""Wilson @ juRPq4TIwB"" calls 2000",2020-12-17T21:36:14.882Z,160824097488300
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:35:49.584Z,160824094958500
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:35:40.393Z,160824094039400
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:35:39.471Z,160824093947200
"""Solenya @ Cm7T72VOne"" posts a big blind of 2000",2020-12-17T21:35:35.815Z,160824093581608
"""Wilson @ juRPq4TIwB"" posts a small blind of 1000",2020-12-17T21:35:35.815Z,160824093581607
"Your hand is 2♠, 9♣",2020-12-17T21:35:35.815Z,160824093581603
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (69062) | #2 ""Solenya @ Cm7T72VOne"" (21237) | #4 ""Vaibhav @ d9aWWonCb9"" (26840) | #6 ""Leon @ FBmvb3C6ih"" (85831) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (42030)",2020-12-17T21:35:35.815Z,160824093581601
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""Dajafa89 @ 8Rd-jalIEp"") --",2020-12-17T21:35:35.815Z,160824093581600
"-- ending hand #84 --",2020-12-17T21:35:32.902Z,160824093290302
"""Wilson @ juRPq4TIwB"" collected 2000 from pot",2020-12-17T21:35:32.902Z,160824093290301
"Uncalled bet of 1000 returned to ""Wilson @ juRPq4TIwB""",2020-12-17T21:35:32.902Z,160824093290300
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:35:32.092Z,160824093209300
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:35:29.366Z,160824092936700
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:35:23.723Z,160824092372400
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:35:20.870Z,160824092087100
"""Wilson @ juRPq4TIwB"" posts a big blind of 2000",2020-12-17T21:35:19.426Z,160824091942808
"""Dajafa89 @ 8Rd-jalIEp"" posts a small blind of 1000",2020-12-17T21:35:19.426Z,160824091942807
"Your hand is 3♠, J♥",2020-12-17T21:35:19.426Z,160824091942803
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (68062) | #2 ""Solenya @ Cm7T72VOne"" (21237) | #4 ""Vaibhav @ d9aWWonCb9"" (26840) | #6 ""Leon @ FBmvb3C6ih"" (85831) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (43030)",2020-12-17T21:35:19.426Z,160824091942801
"-- starting hand #84  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:35:19.426Z,160824091942800
"-- ending hand #83 --",2020-12-17T21:35:16.504Z,160824091650502
"""Leon @ FBmvb3C6ih"" collected 4000 from pot",2020-12-17T21:35:16.504Z,160824091650501
"Uncalled bet of 2000 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:35:16.504Z,160824091650500
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:35:15.699Z,160824091570000
"""Leon @ FBmvb3C6ih"" bets 2000",2020-12-17T21:35:12.558Z,160824091255800
"flop:  [5♠, Q♣, 2♥]",2020-12-17T21:34:47.580Z,160824088758100
"""Dajafa89 @ 8Rd-jalIEp"" checks",2020-12-17T21:34:46.755Z,160824088675600
"""Leon @ FBmvb3C6ih"" calls 2000",2020-12-17T21:34:43.177Z,160824088317800
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:34:34.679Z,160824087468000
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:34:32.795Z,160824087279600
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:34:31.872Z,160824087187200
"""Dajafa89 @ 8Rd-jalIEp"" posts a big blind of 2000",2020-12-17T21:34:28.119Z,160824086812008
"""Leon @ FBmvb3C6ih"" posts a small blind of 1000",2020-12-17T21:34:28.119Z,160824086812007
"Your hand is 10♠, 7♥",2020-12-17T21:34:28.119Z,160824086812003
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (68062) | #2 ""Solenya @ Cm7T72VOne"" (21237) | #4 ""Vaibhav @ d9aWWonCb9"" (26840) | #6 ""Leon @ FBmvb3C6ih"" (83831) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (45030)",2020-12-17T21:34:28.119Z,160824086812001
"-- starting hand #83  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:34:28.119Z,160824086812000
"-- ending hand #82 --",2020-12-17T21:34:21.594Z,160824086159502
"""Leon @ FBmvb3C6ih"" collected 63500 from pot with Flush, Kh High (combination: K♥, J♥, 7♥, 4♥, 2♥)",2020-12-17T21:34:21.594Z,160824086159501
"""Leon @ FBmvb3C6ih"" shows a 4♥, 2♥.",2020-12-17T21:34:21.594Z,160824086159500
"""Dajafa89 @ 8Rd-jalIEp"" calls 8000",2020-12-17T21:34:20.785Z,160824086078600
"""Leon @ FBmvb3C6ih"" bets 8000",2020-12-17T21:34:16.439Z,160824085644000
"river: J♣, K♥, J♥, A♦ [7♥]",2020-12-17T21:34:06.334Z,160824084634400
"""Dajafa89 @ 8Rd-jalIEp"" checks",2020-12-17T21:34:05.524Z,160824084552500
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:33:52.644Z,160824083264400
"turn: J♣, K♥, J♥ [A♦]",2020-12-17T21:33:45.738Z,160824082574100
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:33:44.934Z,160824082493400
"""Dajafa89 @ 8Rd-jalIEp"" calls 14250",2020-12-17T21:33:20.590Z,160824080059100
"""Leon @ FBmvb3C6ih"" bets 14250",2020-12-17T21:33:13.201Z,160824079320200
"flop:  [J♣, K♥, J♥]",2020-12-17T21:33:07.611Z,160824078761300
"""Leon @ FBmvb3C6ih"" calls 6000",2020-12-17T21:33:06.793Z,160824078679400
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:33:05.868Z,160824078586900
"""Solenya @ Cm7T72VOne"" calls 6000",2020-12-17T21:33:04.826Z,160824078483100
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:32:37.388Z,160824075738800
"""Dajafa89 @ 8Rd-jalIEp"" raises to 6000",2020-12-17T21:32:34.717Z,160824075471800
"""Leon @ FBmvb3C6ih"" posts a big blind of 2000",2020-12-17T21:32:29.354Z,160824074935508
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 1000",2020-12-17T21:32:29.354Z,160824074935507
"Your hand is 10♥, A♣",2020-12-17T21:32:29.354Z,160824074935503
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (68062) | #2 ""Solenya @ Cm7T72VOne"" (27237) | #4 ""Vaibhav @ d9aWWonCb9"" (27840) | #6 ""Leon @ FBmvb3C6ih"" (48581) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (73280)",2020-12-17T21:32:29.354Z,160824074935501
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""Solenya @ Cm7T72VOne"") --",2020-12-17T21:32:29.354Z,160824074935500
"-- ending hand #81 --",2020-12-17T21:32:26.438Z,160824074643902
"""Dajafa89 @ 8Rd-jalIEp"" collected 6000 from pot",2020-12-17T21:32:26.438Z,160824074643901
"Uncalled bet of 4000 returned to ""Dajafa89 @ 8Rd-jalIEp""",2020-12-17T21:32:26.438Z,160824074643900
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:32:25.596Z,160824074559700
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:32:23.722Z,160824074372300
"""Dajafa89 @ 8Rd-jalIEp"" bets 4000",2020-12-17T21:32:20.609Z,160824074061000
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:32:11.612Z,160824073161300
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:32:09.659Z,160824072966000
"flop:  [K♦, 10♣, A♣]",2020-12-17T21:31:46.925Z,160824070692600
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:31:46.117Z,160824070611800
"""Solenya @ Cm7T72VOne"" calls 2000",2020-12-17T21:31:43.285Z,160824070328600
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:31:42.367Z,160824070236800
"""Dajafa89 @ 8Rd-jalIEp"" calls 2000",2020-12-17T21:31:31.859Z,160824069186000
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:31:21.051Z,160824068105200
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 2000",2020-12-17T21:31:18.454Z,160824067845508
"""Solenya @ Cm7T72VOne"" posts a small blind of 1000",2020-12-17T21:31:18.454Z,160824067845507
"Your hand is Q♠, 7♦",2020-12-17T21:31:18.454Z,160824067845503
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (68062) | #2 ""Solenya @ Cm7T72VOne"" (29237) | #4 ""Vaibhav @ d9aWWonCb9"" (29840) | #6 ""Leon @ FBmvb3C6ih"" (48581) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (69280)",2020-12-17T21:31:18.454Z,160824067845501
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""Wilson @ juRPq4TIwB"") --",2020-12-17T21:31:18.454Z,160824067845500
"-- ending hand #80 --",2020-12-17T21:31:15.536Z,160824067553702
"""Wilson @ juRPq4TIwB"" collected 24000 from pot",2020-12-17T21:31:15.536Z,160824067553701
"Uncalled bet of 12000 returned to ""Wilson @ juRPq4TIwB""",2020-12-17T21:31:15.536Z,160824067553700
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:31:14.726Z,160824067473000
"""Wilson @ juRPq4TIwB"" bets 12000",2020-12-17T21:31:11.987Z,160824067198800
"turn: K♠, 5♣, J♠ [4♥]",2020-12-17T21:31:03.083Z,160824066308500
"""Dajafa89 @ 8Rd-jalIEp"" calls 8000",2020-12-17T21:31:02.254Z,160824066226100
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:30:51.661Z,160824065166200
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:30:43.002Z,160824064300300
"""Wilson @ juRPq4TIwB"" bets 8000",2020-12-17T21:30:38.334Z,160824063833500
"flop:  [K♠, 5♣, J♠]",2020-12-17T21:30:30.360Z,160824063036100
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:30:29.554Z,160824062955500
"""Wilson @ juRPq4TIwB"" calls 2000",2020-12-17T21:30:28.635Z,160824062863600
"""Dajafa89 @ 8Rd-jalIEp"" calls 2000",2020-12-17T21:30:25.432Z,160824062543300
"""Leon @ FBmvb3C6ih"" calls 2000",2020-12-17T21:30:22.835Z,160824062283600
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:30:14.348Z,160824061434900
"""Solenya @ Cm7T72VOne"" posts a big blind of 2000",2020-12-17T21:30:09.172Z,160824060917508
"""Wilson @ juRPq4TIwB"" posts a small blind of 1000",2020-12-17T21:30:09.172Z,160824060917507
"Your hand is 4♣, 3♥",2020-12-17T21:30:09.172Z,160824060917503
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (54062) | #2 ""Solenya @ Cm7T72VOne"" (31237) | #4 ""Vaibhav @ d9aWWonCb9"" (29840) | #6 ""Leon @ FBmvb3C6ih"" (50581) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (79280)",2020-12-17T21:30:09.172Z,160824060917501
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Dajafa89 @ 8Rd-jalIEp"") --",2020-12-17T21:30:09.172Z,160824060917500
"""Wilson @ juRPq4TIwB"" shows a J♠, 2♣.",2020-12-17T21:30:06.965Z,160824060696600
"-- ending hand #79 --",2020-12-17T21:30:02.622Z,160824060262701
"""Vaibhav @ d9aWWonCb9"" collected 29840 from pot with Straight, J High (combination: J♥, 10♠, 9♠, 8♥, 7♣)",2020-12-17T21:30:02.622Z,160824060262700
"river: 7♣, 10♠, 8♥, 6♠ [9♠]",2020-12-17T21:29:59.574Z,160824059958100
"turn: 7♣, 10♠, 8♥ [6♠]",2020-12-17T21:29:56.539Z,160824059654100
"""Leon @ FBmvb3C6ih"" shows a 10♦, 8♣.",2020-12-17T21:29:53.500Z,160824059350402
"""Vaibhav @ d9aWWonCb9"" shows a K♦, J♥.",2020-12-17T21:29:53.500Z,160824059350401
"Uncalled bet of 50581 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:29:53.500Z,160824059350400
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:29:52.694Z,160824059269500
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:29:51.775Z,160824059177600
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:29:43.872Z,160824058387300
"""Leon @ FBmvb3C6ih"" raises to 60501 and go all in",2020-12-17T21:29:41.307Z,160824058130700
"""Vaibhav @ d9aWWonCb9"" bets 9920 and go all in",2020-12-17T21:29:36.661Z,160824057666200
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:29:33.374Z,160824057337500
"""Wilson @ juRPq4TIwB"" checks",2020-12-17T21:29:26.314Z,160824056631500
"""Dajafa89 @ 8Rd-jalIEp"" checks",2020-12-17T21:29:18.150Z,160824055815100
"flop:  [7♣, 10♠, 8♥]",2020-12-17T21:29:11.166Z,160824055116700
"""Wilson @ juRPq4TIwB"" checks",2020-12-17T21:29:10.359Z,160824055036000
"""Dajafa89 @ 8Rd-jalIEp"" calls 2000",2020-12-17T21:29:09.434Z,160824054943500
"""Leon @ FBmvb3C6ih"" calls 2000",2020-12-17T21:28:52.280Z,160824053228400
"""Vaibhav @ d9aWWonCb9"" calls 2000",2020-12-17T21:28:48.236Z,160824052823700
"""Solenya @ Cm7T72VOne"" calls 2000",2020-12-17T21:28:42.298Z,160824052229900
"""Wilson @ juRPq4TIwB"" posts a big blind of 2000",2020-12-17T21:28:40.315Z,160824052031710
"""Dajafa89 @ 8Rd-jalIEp"" posts a small blind of 1000",2020-12-17T21:28:40.315Z,160824052031709
"Your hand is 5♦, 5♠",2020-12-17T21:28:40.315Z,160824052031705
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (56062) | #2 ""Solenya @ Cm7T72VOne"" (33237) | #4 ""Vaibhav @ d9aWWonCb9"" (11920) | #6 ""Leon @ FBmvb3C6ih"" (62501) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (81280)",2020-12-17T21:28:40.315Z,160824052031703
"-- starting hand #79  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T21:28:40.315Z,160824052031702
"The game's big blind was changed from 1600 to 2000.",2020-12-17T21:28:40.315Z,160824052031701
"The game's small blind was changed from 800 to 1000.",2020-12-17T21:28:40.315Z,160824052031700
"-- ending hand #78 --",2020-12-17T21:28:33.288Z,160824051328903
"""Leon @ FBmvb3C6ih"" shows a K♦, 2♠.",2020-12-17T21:28:33.288Z,160824051328902
"""Dajafa89 @ 8Rd-jalIEp"" collected 38000 from pot with Two Pair, K's & 8's (combination: K♠, K♣, 8♠, 8♦, J♥)",2020-12-17T21:28:33.288Z,160824051328901
"""Dajafa89 @ 8Rd-jalIEp"" shows a K♠, J♥.",2020-12-17T21:28:33.288Z,160824051328900
"""Dajafa89 @ 8Rd-jalIEp"" calls 11400",2020-12-17T21:28:32.482Z,160824051248200
"""Leon @ FBmvb3C6ih"" bets 11400",2020-12-17T21:28:13.479Z,160824049348000
"river: 8♠, 7♥, K♣, 3♥ [8♦]",2020-12-17T21:28:06.345Z,160824048635200
"""Dajafa89 @ 8Rd-jalIEp"" calls 1600",2020-12-17T21:28:05.519Z,160824048552000
"""Leon @ FBmvb3C6ih"" bets 1600",2020-12-17T21:28:02.332Z,160824048234400
"turn: 8♠, 7♥, K♣ [3♥]",2020-12-17T21:27:50.146Z,160824047014700
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:27:49.339Z,160824046934000
"""Dajafa89 @ 8Rd-jalIEp"" calls 3600",2020-12-17T21:27:25.638Z,160824044563900
"""Leon @ FBmvb3C6ih"" bets 3600",2020-12-17T21:27:21.549Z,160824044154900
"flop:  [8♠, 7♥, K♣]",2020-12-17T21:27:14.218Z,160824043422000
"""Dajafa89 @ 8Rd-jalIEp"" checks",2020-12-17T21:27:13.392Z,160824043339400
"""Leon @ FBmvb3C6ih"" calls 1600",2020-12-17T21:27:10.154Z,160824043015400
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:27:09.231Z,160824042923200
"""Solenya @ Cm7T72VOne"" calls 1600",2020-12-17T21:27:05.496Z,160824042549700
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:26:59.444Z,160824041944500
"""Dajafa89 @ 8Rd-jalIEp"" posts a big blind of 1600",2020-12-17T21:26:54.019Z,160824041402008
"""Leon @ FBmvb3C6ih"" posts a small blind of 800",2020-12-17T21:26:54.019Z,160824041402007
"Your hand is J♦, 5♥",2020-12-17T21:26:54.019Z,160824041402003
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (56062) | #2 ""Solenya @ Cm7T72VOne"" (34837) | #4 ""Vaibhav @ d9aWWonCb9"" (11920) | #6 ""Leon @ FBmvb3C6ih"" (80701) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (61480)",2020-12-17T21:26:54.019Z,160824041402001
"-- starting hand #78  (No Limit Texas Hold'em) (dealer: ""Vaibhav @ d9aWWonCb9"") --",2020-12-17T21:26:54.019Z,160824041402000
"-- ending hand #77 --",2020-12-17T21:26:51.110Z,160824041111102
"""Leon @ FBmvb3C6ih"" collected 4000 from pot",2020-12-17T21:26:51.110Z,160824041111101
"Uncalled bet of 4000 returned to ""Leon @ FBmvb3C6ih""",2020-12-17T21:26:51.110Z,160824041111100
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:26:50.295Z,160824041029600
"""Leon @ FBmvb3C6ih"" raises to 5600",2020-12-17T21:26:43.835Z,160824040383600
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:26:38.371Z,160824039837100
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:26:33.752Z,160824039375600
"""Wilson @ juRPq4TIwB"" calls 1600",2020-12-17T21:26:32.830Z,160824039283100
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:26:22.715Z,160824038271500
"""Leon @ FBmvb3C6ih"" posts a big blind of 1600",2020-12-17T21:26:15.425Z,160824037543108
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 800",2020-12-17T21:26:15.425Z,160824037543107
"Your hand is 7♣, 6♠",2020-12-17T21:26:15.425Z,160824037543103
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (57662) | #2 ""Solenya @ Cm7T72VOne"" (34837) | #4 ""Vaibhav @ d9aWWonCb9"" (12720) | #6 ""Leon @ FBmvb3C6ih"" (78301) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (61480)",2020-12-17T21:26:15.425Z,160824037543101
"-- starting hand #77  (No Limit Texas Hold'em) (dealer: ""Solenya @ Cm7T72VOne"") --",2020-12-17T21:26:15.425Z,160824037543100
"-- ending hand #76 --",2020-12-17T21:26:12.489Z,160824037249002
"""Dajafa89 @ 8Rd-jalIEp"" collected 12800 from pot",2020-12-17T21:26:12.489Z,160824037249001
"Uncalled bet of 6400 returned to ""Dajafa89 @ 8Rd-jalIEp""",2020-12-17T21:26:12.489Z,160824037249000
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:26:11.684Z,160824037168400
"""Vaibhav @ d9aWWonCb9"" folds",2020-12-17T21:26:10.763Z,160824037076400
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:26:09.713Z,160824036971400
"""Dajafa89 @ 8Rd-jalIEp"" bets 6400",2020-12-17T21:26:06.607Z,160824036660900
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T21:26:02.369Z,160824036237000
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T21:25:58.664Z,160824035866600
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:25:56.880Z,160824035688100
"flop:  [9♠, K♥, 5♣]",2020-12-17T21:25:43.431Z,160824034343500
"""Leon @ FBmvb3C6ih"" calls 3200",2020-12-17T21:25:42.575Z,160824034257600
"""Vaibhav @ d9aWWonCb9"" calls 3200",2020-12-17T21:25:33.215Z,160824033321600
"""Solenya @ Cm7T72VOne"" calls 3200",2020-12-17T21:25:27.857Z,160824032785800
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:25:26.933Z,160824032693400
"""Dajafa89 @ 8Rd-jalIEp"" raises to 3200",2020-12-17T21:25:02.386Z,160824030238800
"""Leon @ FBmvb3C6ih"" calls 1600",2020-12-17T21:24:51.056Z,160824029105700
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 1600",2020-12-17T21:24:46.379Z,160824028638008
"""Solenya @ Cm7T72VOne"" posts a small blind of 800",2020-12-17T21:24:46.379Z,160824028638007
"Your hand is 7♦, A♦",2020-12-17T21:24:46.379Z,160824028638003
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (57662) | #2 ""Solenya @ Cm7T72VOne"" (38037) | #4 ""Vaibhav @ d9aWWonCb9"" (15920) | #6 ""Leon @ FBmvb3C6ih"" (81501) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (51880)",2020-12-17T21:24:46.379Z,160824028638001
"-- starting hand #76  (No Limit Texas Hold'em) (dealer: ""Wilson @ juRPq4TIwB"") --",2020-12-17T21:24:46.379Z,160824028638000
"-- ending hand #75 --",2020-12-17T21:24:43.435Z,160824028344002
"""Vaibhav @ d9aWWonCb9"" collected 4800 from pot",2020-12-17T21:24:43.435Z,160824028344001
"Uncalled bet of 1600 returned to ""Vaibhav @ d9aWWonCb9""",2020-12-17T21:24:43.435Z,160824028344000
"""Solenya @ Cm7T72VOne"" folds",2020-12-17T21:24:42.612Z,160824028261300
"""Wilson @ juRPq4TIwB"" folds",2020-12-17T21:24:13.232Z,160824025323300
"""Vaibhav @ d9aWWonCb9"" bets 1600",2020-12-17T21:24:05.762Z,160824024576300
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:24:03.670Z,160824024367100
"""Wilson @ juRPq4TIwB"" checks",2020-12-17T21:23:42.097Z,160824022209700
"flop:  [J♠, 8♣, Q♣]",2020-12-17T21:23:29.393Z,160824020939400
"""Solenya @ Cm7T72VOne"" checks",2020-12-17T21:23:28.588Z,160824020858900
"""Wilson @ juRPq4TIwB"" calls 1600",2020-12-17T21:23:27.668Z,160824020766900
"""Dajafa89 @ 8Rd-jalIEp"" folds",2020-12-17T21:23:05.724Z,160824018572400
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T21:23:04.697Z,160824018469800
"""Vaibhav @ d9aWWonCb9"" calls 1600",2020-12-17T21:22:58.489Z,160824017849000
"""Solenya @ Cm7T72VOne"" posts a big blind of 1600",2020-12-17T21:22:54.254Z,160824017425608
"""Wilson @ juRPq4TIwB"" posts a small blind of 800",2020-12-17T21:22:54.254Z,160824017425607
"Your hand is K♦, 4♦",2020-12-17T21:22:54.254Z,160824017425603
"Player stacks: #1 ""Wilson @ juRPq4TIwB"" (59262) | #2 ""Solenya @ Cm7T72VOne"" (39637) | #4 ""Vaibhav @ d9aWWonCb9"" (12720) | #6 ""Leon @ FBmvb3C6ih"" (81501) | #9 ""Dajafa89 @ 8Rd-jalIEp"" (51880)",2020-12-17T21:22:54.254Z,160824017425601
"-- starting hand #75  (No Limit Texas Hold'em) (dealer: ""Dajafa89 @ 8Rd-jalIEp"") --",2020-12-17T21:22:54.254Z,160824017425600
"-- ending hand #74 --",2020-12-17T21:22:48.207Z,160824016820901
"""Dajafa89 @ 8Rd-jalIEp"" collected 51880 from pot with Two Pair, K's & J's (combination: K♥, K♦, J♠, J♣, 8♣)",2020-12-17T21:22:48.207Z,160824016820900
"river: 8♣, J♠, 4♦, 2♠ [J♣]",2020-12-17T21:22:45.186Z,160824016519500
"turn: 8♣, J♠, 4♦ [2♠]",2020-12-17T21:22:42.172Z,160824016217700
"flop:  [8♣, J♠, 4♦]",2020-12-17T21:22:39.155Z,160824015915600
"""Dajafa89 @ 8Rd-jalIEp"" shows a K♥, K♦.",2020-12-17T21:22:36.146Z,160824015614702
"""Solenya @ Cm7T72VOne"" shows a A♦, 10♦.",2020-12-17T21:22:36.146Z,160824015614701
"Uncalled bet of 39637 returned to ""Solenya @ Cm7T72VOne""",2020-12-17T21:22:36.146Z,160824015614700
